iter	Passed	Remaining
0	1	143
1	2	136
2	3	118
3	4	105
4	6	114
5	6	109
6	7	105
7	8	102
8	9	100
9	11	100
10	12	100
11	13	99
12	14	99
13	16	98
14	17	97
15	18	99
16	20	97
17	21	96
18	22	94
19	23	92
20	24	92
21	25	90
22	26	88
23	27	87
24	28	85
25	30	85
26	31	84
27	32	83
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	42	69
38	44	70
39	45	68
40	46	67
41	47	65
42	48	63
43	49	62
44	50	61
45	51	61
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	70	43
62	71	42
63	72	41
64	73	39
65	74	38
66	76	37
67	77	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	86	27
76	87	26
77	88	25
78	90	24
79	91	22
80	92	21
81	93	20
82	95	19
83	96	18
84	98	17
85	99	16
86	100	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	110	8
93	111	7
94	113	5
95	114	4
96	116	3
97	117	2
98	118	1
99	120	0
