iter	Passed	Remaining
0	150	150463
1	152	76109
2	153	51131
3	155	38621
4	155	31041
5	156	25988
6	157	22380
7	158	19671
8	159	17561
9	160	15877
10	161	14480
11	161	13313
12	162	12322
13	162	11475
14	163	10740
15	164	10095
16	164	9527
17	165	9043
18	166	8609
19	167	8210
20	168	7855
21	169	7543
22	170	7253
23	171	6992
24	173	6747
25	173	6514
26	174	6304
27	175	6099
28	176	5905
29	177	5723
30	177	5557
31	178	5398
32	179	5248
33	180	5120
34	181	4990
35	181	4871
36	183	4763
37	183	4656
38	184	4552
39	185	4454
40	186	4367
41	187	4283
42	188	4195
43	189	4110
44	189	4028
45	190	3950
46	191	3875
47	191	3802
48	192	3733
49	192	3666
50	193	3604
51	194	3549
52	195	3498
53	196	3447
54	197	3394
55	198	3343
56	199	3292
57	199	3246
58	200	3202
59	201	3159
60	202	3115
61	203	3073
62	203	3030
63	204	2989
64	205	2950
65	205	2912
66	206	2876
67	207	2841
68	208	2813
69	209	2781
70	210	2750
71	211	2721
72	211	2691
73	212	2660
74	213	2631
75	214	2605
76	215	2578
77	215	2551
78	216	2524
79	217	2498
80	218	2474
81	218	2450
82	219	2422
83	219	2398
84	220	2374
85	221	2352
86	222	2336
87	223	2316
88	224	2302
89	225	2283
90	226	2264
91	227	2246
92	228	2231
93	229	2212
94	230	2193
95	230	2173
96	231	2154
97	232	2135
98	232	2117
99	233	2099
100	233	2082
101	234	2065
102	235	2048
103	235	2033
104	236	2019
105	237	2006
106	238	1992
107	239	1979
108	240	1966
109	241	1956
110	242	1945
111	243	1932
112	244	1918
113	245	1904
114	245	1891
115	246	1877
116	246	1863
117	247	1850
118	248	1837
119	248	1824
120	249	1812
121	249	1798
122	251	1789
123	251	1779
124	252	1769
125	253	1759
126	254	1747
127	254	1736
128	255	1726
129	256	1716
130	257	1707
131	258	1697
132	258	1686
133	259	1676
134	259	1665
135	260	1655
136	261	1645
137	261	1635
138	262	1625
139	263	1616
140	263	1606
141	264	1597
142	265	1590
143	266	1582
144	267	1574
145	267	1567
146	268	1559
147	269	1550
148	270	1543
149	271	1536
150	271	1529
151	272	1520
152	273	1512
153	273	1505
154	274	1497
155	275	1489
156	275	1481
157	276	1473
158	277	1465
159	277	1457
160	278	1448
161	279	1443
162	280	1438
163	280	1432
164	281	1426
165	282	1419
166	283	1412
167	283	1406
168	284	1399
169	285	1393
170	286	1387
171	286	1380
172	287	1374
173	288	1368
174	288	1361
175	289	1355
176	290	1348
177	290	1342
178	291	1336
179	291	1329
180	292	1323
181	293	1319
182	294	1314
183	295	1309
184	296	1304
185	297	1300
186	297	1295
187	298	1290
188	299	1285
189	300	1280
190	301	1275
191	301	1270
192	302	1264
193	303	1258
194	303	1253
195	304	1247
196	304	1242
197	305	1237
198	306	1232
199	306	1226
200	307	1223
201	308	1219
202	309	1215
203	310	1211
204	311	1206
205	311	1202
206	312	1197
207	313	1193
208	314	1190
209	315	1186
210	316	1181
211	316	1177
212	317	1172
213	318	1168
214	318	1163
215	319	1159
216	319	1154
217	320	1149
218	321	1146
219	322	1143
220	323	1140
221	324	1136
222	325	1133
223	326	1129
224	326	1126
225	328	1123
226	328	1119
227	329	1115
228	330	1111
229	330	1107
230	331	1103
231	332	1099
232	332	1095
233	333	1091
234	333	1087
235	334	1083
236	335	1080
237	336	1077
238	337	1074
239	338	1071
240	339	1069
241	340	1066
242	341	1063
243	342	1060
244	343	1058
245	344	1054
246	344	1050
247	345	1046
248	345	1043
249	346	1039
250	347	1035
251	347	1031
252	348	1028
253	348	1024
254	350	1022
255	350	1019
256	351	1016
257	352	1014
258	354	1013
259	355	1011
260	356	1009
261	357	1006
262	357	1003
263	358	1000
264	359	998
265	360	995
266	361	992
267	362	989
268	363	987
269	365	988
270	367	987
271	368	985
272	369	982
273	369	980
274	371	978
275	372	976
276	372	973
277	373	970
278	374	966
279	374	963
280	375	960
281	376	957
282	376	954
283	377	951
284	378	949
285	379	946
286	380	944
287	381	942
288	381	939
289	382	936
290	383	934
291	384	931
292	385	929
293	385	926
294	386	923
295	387	920
296	387	917
297	388	914
298	388	911
299	389	908
300	390	905
301	390	903
302	391	900
303	391	897
304	393	895
305	394	893
306	394	891
307	395	889
308	396	886
309	397	884
310	398	882
311	399	880
312	399	877
313	400	875
314	401	872
315	401	869
316	402	866
317	403	864
318	403	861
319	404	858
320	404	856
321	405	853
322	406	852
323	407	850
324	408	848
325	409	846
326	410	843
327	410	841
328	411	840
329	412	838
330	413	836
331	414	833
332	415	831
333	415	829
334	416	826
335	417	824
336	417	821
337	418	819
338	419	817
339	419	814
340	420	813
341	421	811
342	422	809
343	423	807
344	424	805
345	424	803
346	425	801
347	426	799
348	427	797
349	428	795
350	429	793
351	429	791
352	430	788
353	430	786
354	431	784
355	432	782
356	433	780
357	434	779
358	435	777
359	436	775
360	437	773
361	437	771
362	438	769
363	439	767
364	440	766
365	441	764
366	441	762
367	442	759
368	443	757
369	443	755
370	444	753
371	445	752
372	446	750
373	446	747
374	447	745
375	448	744
376	449	743
377	450	741
378	451	739
379	452	737
380	452	735
381	453	733
382	454	732
383	455	730
384	455	728
385	456	726
386	457	724
387	458	722
388	458	720
389	459	718
390	459	716
391	460	714
392	461	712
393	461	710
394	463	709
395	463	707
396	464	706
397	465	704
398	466	703
399	467	701
400	468	699
401	469	698
402	470	696
403	470	694
404	471	692
405	472	691
406	473	689
407	473	687
408	474	685
409	475	684
410	476	682
411	477	681
412	478	680
413	479	678
414	480	677
415	481	675
416	481	673
417	482	672
418	483	670
419	484	669
420	485	667
421	486	666
422	487	664
423	487	662
424	488	660
425	489	659
426	489	657
427	491	656
428	492	655
429	492	653
430	493	652
431	494	650
432	495	648
433	496	647
434	497	645
435	498	644
436	498	642
437	499	641
438	500	639
439	501	637
440	502	636
441	502	634
442	503	633
443	504	631
444	505	630
445	506	628
446	507	627
447	508	626
448	508	624
449	509	622
450	510	621
451	511	619
452	511	618
453	512	616
454	513	615
455	514	613
456	515	611
457	515	610
458	516	608
459	517	606
460	517	605
461	518	603
462	519	602
463	520	601
464	521	599
465	522	598
466	522	596
467	523	595
468	524	594
469	525	593
470	526	591
471	527	589
472	528	588
473	528	586
474	529	585
475	530	583
476	530	582
477	531	580
478	532	578
479	533	577
480	534	576
481	535	575
482	536	574
483	537	572
484	538	571
485	539	570
486	540	569
487	540	567
488	541	565
489	542	564
490	543	562
491	543	561
492	544	559
493	544	558
494	545	556
495	546	555
496	546	553
497	547	552
498	548	550
499	549	549
500	550	548
501	551	547
502	552	545
503	552	544
504	553	542
505	554	541
506	555	539
507	555	538
508	556	536
509	557	535
510	557	533
511	558	532
512	559	530
513	559	529
514	560	527
515	561	526
516	562	525
517	563	524
518	564	523
519	565	521
520	565	520
521	566	518
522	567	517
523	567	515
524	568	514
525	569	512
526	569	511
527	570	510
528	571	508
529	571	507
530	572	505
531	573	504
532	573	502
533	574	501
534	575	500
535	576	499
536	578	498
537	579	497
538	580	496
539	580	494
540	581	493
541	582	492
542	583	490
543	583	489
544	584	488
545	585	486
546	586	485
547	586	483
548	587	482
549	588	481
550	588	479
551	589	478
552	590	477
553	591	476
554	592	475
555	593	474
556	594	472
557	595	471
558	596	470
559	596	468
560	597	467
561	598	466
562	598	464
563	599	463
564	600	462
565	600	460
566	601	459
567	602	458
568	603	457
569	605	456
570	606	455
571	607	454
572	608	453
573	609	452
574	610	451
575	611	449
576	612	448
577	613	447
578	613	446
579	614	445
580	615	443
581	616	442
582	616	441
583	617	440
584	618	438
585	620	438
586	621	437
587	622	436
588	623	434
589	624	433
590	624	432
591	625	431
592	626	429
593	627	428
594	627	427
595	629	426
596	630	425
597	631	424
598	632	423
599	633	422
600	634	421
601	635	419
602	636	418
603	637	417
604	638	416
605	638	415
606	639	414
607	640	412
608	640	411
609	641	410
610	642	409
611	643	408
612	644	406
613	645	405
614	646	404
615	647	403
616	648	402
617	649	401
618	650	400
619	651	399
620	652	398
621	653	397
622	654	396
623	655	394
624	656	393
625	657	392
626	657	391
627	658	390
628	659	388
629	660	387
630	661	386
631	662	385
632	663	384
633	664	383
634	665	382
635	666	381
636	667	380
637	668	379
638	668	377
639	669	376
640	670	375
641	671	374
642	672	373
643	673	372
644	674	371
645	675	370
646	676	369
647	677	368
648	678	367
649	679	365
650	680	364
651	681	363
652	682	362
653	683	361
654	684	360
655	684	359
656	685	357
657	686	356
658	686	355
659	687	354
660	688	353
661	689	351
662	690	350
663	691	350
664	693	349
665	694	348
666	695	347
667	695	345
668	696	344
669	697	343
670	698	342
671	699	341
672	700	340
673	701	339
674	702	338
675	702	336
676	704	335
677	705	335
678	706	334
679	707	333
680	708	331
681	709	330
682	710	329
683	711	328
684	713	327
685	714	326
686	715	325
687	715	324
688	716	323
689	718	322
690	719	321
691	720	320
692	721	319
693	722	318
694	723	317
695	724	316
696	725	315
697	726	314
698	726	313
699	727	311
700	728	310
701	729	309
702	729	308
703	730	307
704	731	306
705	732	305
706	733	304
707	735	303
708	736	302
709	736	300
710	737	299
711	738	298
712	739	297
713	740	296
714	740	295
715	741	294
716	742	293
717	743	291
718	743	290
719	744	289
720	745	288
721	746	287
722	747	286
723	748	285
724	749	284
725	750	283
726	751	282
727	752	281
728	753	279
729	753	278
730	754	277
731	755	276
732	756	275
733	756	274
734	757	273
735	758	271
736	758	270
737	760	269
738	761	268
739	762	267
740	763	266
741	764	265
742	765	264
743	766	263
744	767	262
745	767	261
746	768	260
747	769	259
748	770	258
749	770	256
750	771	255
751	772	254
752	773	253
753	774	252
754	775	251
755	776	250
756	777	249
757	778	248
758	779	247
